20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/user/getUsers.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.UserData.getUsers(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.agt.entity.User>,com.gsoft.framework.security.agt.entity.User,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/agt/user/removeUsers.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.agt.web.UserData.removeUsers(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/getMenus.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.getMenus(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Menu>,com.gsoft.framework.security.fuc.entity.Menu,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/getMenu.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.getMenu(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/saveMenu.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.saveMenu(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Menu>,com.gsoft.framework.security.fuc.entity.Menu,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/removeMenus.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.removeMenus(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/removeMenu.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.removeMenu(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,java.lang.String)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/menu/getPagerMenus.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.MenuData.getPagerMenus(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.Menu>,com.gsoft.framework.security.fuc.entity.Menu,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/getPageElements.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.getPageElements(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.PageElement>,com.gsoft.framework.security.fuc.entity.PageElement,org.springframework.validation.BindingResult)
20150628 12:02:51 INFO AnnotationHandlerMapping.registerHandlerMethod(179) | Mapped "{[/fuc/pageElement/savePageElement.json],methods=[],params=[],headers=[],consumes=[],produces=[],custom=[]}" onto public com.gsoft.framework.core.web.view.DataModelAndView com.gsoft.framework.security.fuc.web.PageElementData.savePageElement(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse,com.gsoft.framework.core.web.controller.RequestDataIn<com.gsoft.framework.security.fuc.entity.PageElement>,com.gsoft.framework.security.fuc.entity.PageElement,org.springframework.validation.BindingResult)
